所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
/统计分析模块(#147),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/统计分析模块(#148),客户统计部分是否能正确统计注册用户数目,用户在前台进行注册,"1. 登录前台，用户名注册为test1，密码为111111
2. 登录前台，用户名注册为test2，密码为111111
3.登录前台，用户名注册为test3，密码为111111","1. 后台能够正常统计到用户人数增加
2. 后台能够正常统计到用户人数增加
3.后台能够正常统计到用户人数增加",,,,,,功能测试,功能测试阶段
/统计分析模块(#149),客户统计部分的“最近七天”按钮点击后能否正确显示数据,已有一定数量的注册客户以及下单量,点击“最近七天”,系统能够正确的显示最近七天的客户增长数量和下单量,,,,,,功能测试,功能测试阶段
/统计分析模块(#150),客户统计部分的“最近30天”按钮点击后能否正确显示数据,已有一定数量的注册客户和下单量,点击“最近30天”按钮,系统能够正确的显示最近30天的客户增长数量以及下单量,,,,,,功能测试,功能测试阶段
/统计分析模块(#151),客户统计部分的选择日期查看客户增长数量,有一定数量的注册的客户和下单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮","1. 选中日期
2. 系统正确显示客户增长数量和下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#152),客户统计部分的选择日期查看客户增长数量,有一定数量的注册的客户和下单量,"1. 选择日期范围小于或等于三十天
2. 点击“查看”按钮","1.选中日期
2.系统正确显示客户增长数量和下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#153),客户统计部分的选择日期查看客户增长数量,有一定数量的注册的客户和下单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮. ","1.选中日期
2.系统正确显示客户增长数量和下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#154),客户统计部分当鼠标移动到分析图上时，显示的客户数量是否与实际的客户数量相同,有一定数量的注册的客户和下单量,"1. 点击最近七天
2.将鼠标移动到统计图的任意位置上","1显示最近七天的图表
2.鼠标位置显示出来的客户数量与下单量与实际情况符合",,,,,,功能测试,功能测试阶段
/统计分析模块(#155),客户统计部分当鼠标移动到分析图上时，显示的客户数量是否与实际的客户数量相同,有一定数量的注册的客户和下单量,"1. 点击最近30天
2.将鼠标移动到统计图的任意位置上","1显示最近30天的图表
2.鼠标位置显示出来的客户数量与下单量与实际情况符合",,,,,,功能测试,功能测试阶段
/统计分析模块(#156),客户统计部分当鼠标移动到分析图上时，显示的客户数量是否与实际的客户数量相同,有一定数量的注册的客户和下单量,"1.选择日期范围
2.将鼠标移动到统计图的任意位置上","1选中日期.
2.鼠标位置显示出来的客户数量与下单量与实际情况符合",,,,,,功能测试,功能测试阶段
/统计分析模块(#157),客户统计部分中的客户统计图表中点击新增客户，是否会隐藏掉新增客户只显示下单量,有一定数量的注册的客户和下单量,"1.点击最近30天
2.点击新增客户","1.显示醉经30天的图表
2.统计图表只显示下单量",,,,,,功能测试,功能测试阶段
