"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11159","DBShop(#10)","商品管理模块(#149)","","对特定商品标签的添加特定商品标签进行验证","","1. 点击添加特定商品标签
2. 选择标签类型“手机端首页商品”
3. 输入标签名称为“热卖品”
4. 点击保存标签信息
","1. 跳转到新加特定商品标签页面
2. 已选择类型为手机端首页商品
3. 输入框显示已输入内容
4. 跳转到特定商品标签页面，显示已添加信息
","1. 
2. 
3. 
4. 
","","3","功能测试","","正常","1","1","4","失败","范丽梅","2018-12-11","","0000-00-00","1","",""
"11127","DBShop(#10)","商品管理模块(#149)","","标签名称为空的情况下，对商品标签的添加普通商品标签进行验证","已登录后台，已添加标签组（尺码）","1. 点击添加普通商品标签
2. 选择标签组（尺码）
3. 点击保存标签信息
","1. 跳转到新加普通商品标签页面
2. 输入框显示内容为尺码
3. 提示标签名称不能为空
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11126","DBShop(#10)","商品管理模块(#149)","","输入框正常输入的情况下，对商品标签的添加普通商品标签进行验证","已登录后台，已添加标签组（尺码）","1. 点击添加普通商品标签
2. 选择标签组（尺码）
3. 输入标签名称（M）
4. 点击保存标签信息
","1. 跳转到新加普通商品标签页面
2. 输入框显示内容为尺码
3. 输入框显示已输入内容
4. 跳转到普通商品标签页面
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11125","DBShop(#10)","商品管理模块(#149)","","标签组名称为空的情况下，对商品标签的添加标签组进行验证","已登录后台","1. 点击添加标签组
2. 点击保存标签组信息
","1. 跳转到新加标签组页面
2. 提示标签组名称不能为空
","","","3","功能测试","","正常","0","2","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11124","DBShop(#10)","商品管理模块(#149)","","标签组名称正常输入的情况下，对商品标签的添加标签组进行验证","已登录后台","1. 点击添加标签组
2. 输入标签组名称（尺码）
3. 点击保存标签组信息
","1. 跳转到新加标签组页面
2. 输入框显示已输入内容
3. 跳转到标签分组页面
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11123","DBShop(#10)","商品管理模块(#149)","","验证商品咨询功能","已登录后台","1. 点击商品咨询，查看商品的相关咨询信息
","1. 正常显示商品咨询相关信息
","","","3","功能测试","","正常","0","1","1","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11122","DBShop(#10)","商品管理模块(#149)","","验证商品索引功能","已登录后台","1. 勾选商品索引（启用）
2. 点击更新商品索引
3. 点击保存索引设置
","1. 启用状态已勾选
2. 提示索引更新成功
3. 提示商品索引设置成功
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11121","DBShop(#10)","商品管理模块(#149)","","验证商品评价功能","已登录后台","1. 点击商品评价功能，查看商品的相关评价
","1. 正常显示商品评价
","","","3","功能测试","","正常","0","1","1","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11120","DBShop(#10)","商品管理模块(#149)","","品牌名称为空的情况下，对商品品牌的添加品牌进行验证","已登录后台","1. 点击添加品牌
2. 点击保存品牌
","1. 跳转到新加商品品牌页面
2. 提示品牌名称不能为空
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11119","DBShop(#10)","商品管理模块(#149)","","品牌名称正常输入的情况下，对商品品牌的添加品牌进行验证","已登录后台","1. 点击添加品牌
2. 输入品牌名称（DELL）
3. 点击保存品牌
","1. 跳转到新加商品品牌页面
2. 输入框显示已输入名称
3. 跳转到商品品牌页面
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11118","DBShop(#10)","商品管理模块(#149)","","输入框正常输入的情况下，对商品属性的添加属性进行验证","已登录后台，已添加属性组（下拉框）","1. 选择属性分组（下拉框）
2. 选择属性下拉
3. 输入属性名称（+按钮）
4. 点击保存属性信息
","1. 输入框显示内容为下拉框
2. 输入框显示已选择内容
3. 输入框显示已输入内容
4. 跳转到商品属性页面
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11117","DBShop(#10)","商品管理模块(#149)","","属性组名称为空的情况下，对商品属性的添加属性组进行验证","已登录后台","1. 点击保存属性组信息
","1. 提示 属性组名称不能为空
","","","3","功能测试","","正常","0","1","1","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11116","DBShop(#10)","商品管理模块(#149)","","输入框正常输入的情况下，对商品属性的添加属性组进行验证","已登录后台","1. 输入属性组名称（下拉框）
2. 点击保存属性组信息
","1. 输入框显示已输入内容
2. 跳转到属性分组页面
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11115","DBShop(#10)","商品管理模块(#149)","","输入显示名称为空的情况下， 对前台侧边设置的添加侧边显示进行验证","已登录后台","1. 点击添加侧边显示
2. 点击保存侧边显示信息
","1. 跳转到新加侧边显示页面
2. 提示显示名称输入框不能为空
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11114","DBShop(#10)","商品管理模块(#149)","","正常输入显示名称的情况下，对前台侧边设置的添加侧边显示进行验证","已登录后台","1. 点击添加侧边显示
2. 输入显示名称（家具）
3. 点击保存侧边显示信息
","1. 跳转到新加侧边显示页面
2. 输入框显示已输入内容
3. 跳转到前台侧边显示设置页面，正常显示已添加信息
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11113","DBShop(#10)","商品管理模块(#149)","","对商品分类的分类预览进行验证","已登录后台","1. 点击裤子类-分类预览
","1. 页面跳转到前台界面，可查看商品信息
","","","3","功能测试","","正常","0","1","1","通过","范丽梅","2018-12-05","范丽梅","2018-12-11","2","",""
"11112","DBShop(#10)","商品管理模块(#149)","","商品价格为字母的情况下，对商品分类的商品添加进行验证","已登录后台","1. 点击裤子类-商品添加
2. 输入商品名称（阔腿裤）
3. 输入本店价格（hhh）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 提示价格必须为数字
","","","3","功能测试","","正常","0","1","5","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11111","DBShop(#10)","商品管理模块(#149)","","商品价格为数字的情况下，对商品分类的商品添加进行验证","已登录后台","1. 点击裤子类-商品添加
2. 输入商品名称（阔腿裤）
3. 输入本店价格（188）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 跳转到管理商品页面
","","","3","功能测试","","正常","0","1","5","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11110","DBShop(#10)","商品管理模块(#149)","","商品名称为空的情况下，对商品分类的商品添加进行验证","已登录后台","1. 点击裤子类-商品添加
2. 输入本店价格（88）
3. 选择商品类型（实物商品）
4. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入价格
3. 输入框显示已选择类型
4. 提示输入商品名称
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11109","DBShop(#10)","商品管理模块(#149)","","商品名称非空的情况下，对商品分类的商品添加进行验证","已登录后台","1. 点击裤子类-商品添加
2. 输入商品名称（阔腿裤）
3. 输入本店价格（88）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 跳转到管理商品页面
","","","3","功能测试","","正常","0","1","5","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11108","DBShop(#10)","商品管理模块(#149)","","对商品分类的删除分类进行验证","已登录后台","1. 点击裤子类-删除分类
2. 点击取消
","1. 提示框显示“你确定要删除该分类吗？”
2. 裤子类未被删除
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11107","DBShop(#10)","商品管理模块(#149)","","对商品分类的删除分类进行验证","已登录后台","1. 点击裤子类-删除分类
2. 点击确定
","1. 提示框显示“你确定要删除该分类吗？”
2. 裤子类被删除
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11106","DBShop(#10)","商品管理模块(#149)","","对商品分类的分类编辑进行验证","已登录后台","1. 点击裤子类-分类编辑
2. 选择上级分类为衣服类
3. 点击保存分类
","1. 跳转到编辑商品分类页面
2. 输入框显示已选择分类
3. 跳转到管理分类页面
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11105","DBShop(#10)","商品管理模块(#149)","","输入框输入为空的情况下，对商品分类的添加子类进行验证","已登录后台，已添加商品分类（裤子）","1. 点击裤子类-添加子类
2. 分类状态为启用
3. 点击保存分类
","1. 跳转到新加商品分类
2. 启用状态已勾选
3. 提示分类名称不能为空
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11104","DBShop(#10)","商品管理模块(#149)","","输入框正常输入的情况下，对商品分类的添加子类进行验证","已登录后台，已添加商品分类（裤子）","1. 点击裤子类-添加子类
2. 输入分类名称（牛仔裤）
3. 分类状态为启用
4. 点击保存分类
","1. 跳转到新加商品分类
2. 输入框显示已输入名称
3. 启用状态已勾选
4. 跳转到管理分类页面
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11103","DBShop(#10)","商品管理模块(#149)","","输入框输入为空的情况下，对商品分类的添加分类进行验证","已登录后台","1. 点击添加分类
2. 分类状态为启用
3. 点击保存分类
","1. 跳转到新加商品分类页面
2. 启用状态已选择
3. 提示分类名称输入框不能为空
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11102","DBShop(#10)","商品管理模块(#149)","","输入框正常输入的情况下，对商品分类的添加分类进行验证","已登录后台","1. 点击添加分类
2. 输入分类名称（裤子）
3. 分类状态为启用
4. 点击保存分类
","1. 跳转到新加商品分类页面
2. 输入框显示已输入内容
3. 启用状态已选择
4. 跳转到管理分类页面，前台管理分类添加裤子类
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11101","DBShop(#10)","商品管理模块(#149)","","选择部分商品的情况下，对管理商品的提交操作进行验证","已登录后台","1. 勾选商品（裙子）
2. 选择更改状态
3. 选择下架
4. 点击提交操作
","1. 商品（裙子）已勾选
2. 输入框显示已选择内容
3. 输入框显示已选择内容
4. 管理商品页面商品状态更新成功
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11100","DBShop(#10)","商品管理模块(#149)","","选择全部商品的情况下，对管理商品的提交操作进行验证","已登录后台","1. 勾选全部商品
2. 选择更改状态
3. 选择下架
4. 点击提交操作
","1. 所有商品已被勾选
2. 输入框显示已选择内容
3. 输入框显示已选择内容
4. 管理商品页面的商品状态更新成功
","","","3","功能测试","","正常","0","2","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11099","DBShop(#10)","商品管理模块(#149)","","商品名称已存在的情况下，输入“qunzi”，对管理商品的搜索功能进行验证","已登录后台","1. 输入商品名称（qunzi）
2. 点击搜索
","1. 输入框显示已输入名称
2. 管理商品页面未显示相关商品信息
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","范丽梅","2018-12-11","1","",""
"11098","DBShop(#10)","商品管理模块(#149)","","商品名称已存在的情况下，输入“裙子”，对管理商品的搜索功能进行验证","已登录后台","1. 输入商品名称（裙子）
2. 点击搜索
","1. 输入框显示已输入名称
2. 管理商品页面显示相关商品信息
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","范丽梅","2018-12-11","3","",""
"11097","DBShop(#10)","商品管理模块(#149)","","输入的商品名称不存在的情况下，对管理商品的搜索功能进行验证","已登录后台","1. 输入商品名称（袜子）
2. 点击搜索
","1. 输入框显示已输入名称
2. 管理商品页面未显示相关商品信息
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11096","DBShop(#10)","商品管理模块(#149)","","输入商品名称非空时，对管理商品的添加商品功能进行验证","已登录后台，存在商品分类裙子","1. 点击添加商品
2. 输入商品名称（裙子）
3. 输入本店价格（88）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 跳转到管理商品页面
","1. 
2. 
3. 
4. 
5. 
","","3","功能测试","","正常","1","1","5","失败","范丽梅","2018-12-05","范丽梅","2018-12-11","1","",""
"11095","DBShop(#10)","商品管理模块(#149)","","输入商品价格为字母时，对管理商品的添加商品功能进行验证","已登录后台，商品分类（裙子）不存在","1. 点击添加商品
2. 输入商品名称（裙子）
3. 输入本店价格（aaa）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 提示价格必须为数字
","","","3","功能测试","","正常","0","1","5","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11094","DBShop(#10)","商品管理模块(#149)","","输入商品价格为数字时，对管理商品的添加商品功能进行验证","已登录后台，商品分类（裙子）不存在","1. 点击添加商品
2. 输入商品名称（裙子）
3. 输入本店价格（100）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 跳转到管理商品页面，提示未设置商品分类，前台不能显示
","","","3","功能测试","","正常","0","1","5","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11093","DBShop(#10)","商品管理模块(#149)","","输入商品名称为空时，对管理商品的添加商品功能进行验证","已登录后台，商品分类（裙子）不存在","1. 点击添加商品
2. 输入本店价格（88）
3. 选择商品类型（实物商品）
4. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入价格
3. 输入框显示已选择类型
4. 提示输入商品名称
","","","3","功能测试","","正常","0","1","4","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"11092","DBShop(#10)","商品管理模块(#149)","","输入商品名称非空时，对管理商品的添加商品功能进行验证","已登录后台，商品分类（裙子）不存在","1. 点击添加商品
2. 输入商品名称（裙子）
3. 输入本店价格（88）
4. 选择商品类型（实物商品）
5. 点击保存商品
","1. 跳转到新加商品页面
2. 输入框显示已输入商品名称
3. 输入框显示已输入价格
4. 输入框显示已选择类型
5. 跳转到管理商品页面，提示未设置商品分类，前台不能显示
","","","3","功能测试","","正常","0","1","5","通过","范丽梅","2018-12-05","","0000-00-00","1","",""
"10822","DBShop(#10)","商品管理模块(#149)","","标签名称为空的情况下，对商品标签的添加普通商品标签进行验证","已登录后台，已添加标签组（尺码）","1. 点击添加普通商品标签
2. 选择标签组（尺码）
3. 点击保存标签信息
","1. 跳转到新加普通商品标签页面
2. 输入框显示内容为尺码
3. 提示标签名称不能为空
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-04","","0000-00-00","1","",""
"10821","DBShop(#10)","商品管理模块(#149)","","标签组名称为空的情况下，对商品标签的添加标签组进行验证 ","已登录后台","1. 点击添加标签组
2. 点击保存标签组信息
","1. 跳转到新加标签组页面
2. 提示标签组名称不能为空
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-04","","0000-00-00","1","",""
"10820","DBShop(#10)","商品管理模块(#149)","","品牌名称为空的情况下，对商品品牌的添加品牌进行验证","已登录后台","1. 点击添加品牌 
2. 点击保存品牌
","1. 跳转到新加商品品牌页面
2. 提示品牌名称不能为空
","","","3","功能测试","","正常","0","1","2","通过","范丽梅","2018-12-04","","0000-00-00","1","",""
"10817","DBShop(#10)","商品管理模块(#149)","","  属性名称为空的情况下，对商品属性的添加属性进行验证","已登录后台，已添加属性组（下拉框） ","1. 选择属性分组（下拉框）
2. 选择属性下拉
3. 点击保存属性信息 
","1. 输入框显示内容为下拉框
2. 输入框显示已选择内容 
3. 提示属性名称不能为空
","","","3","功能测试","","正常","0","1","3","通过","范丽梅","2018-12-04","范丽梅","2018-12-04","1","",""
